,abbreviation,alt_color,alt_name1,alt_name2,alt_name3,color,conference,division,id,logos,mascot,school
352,MRSH,#be854c,,MRSH,Marshall,#186329,Conference USA,East,276,"['http://a.espncdn.com/i/teamlogos/ncaa/500/276.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/276.png']",Thundering Herd,Marshall
353,MAR,,,MAR,Mars Hill,#000000,,,2369,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2369.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2369.png']",Lions,Mars Hill
354,MAR,,,MAR,Martin Luther ,#000000,,,446,"['http://a.espncdn.com/i/teamlogos/ncaa/500/446.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/446.png']",Knights,Martin Luther College
355,MAR,,,MAR,Mary Hardin-Baylor,#000000,,,2371,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2371.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2371.png']",Crusaders,Mary Hardin-Baylor
356,MD,#ffcd00,,MD,Maryland,#D5002B,Big Ten,East,120,"['http://a.espncdn.com/i/teamlogos/ncaa/500/120.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/120.png']",Terrapins,Maryland
357,MAR,,Maryville (TN),MAR,Maryville TN,#000000,,,2373,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2373.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2373.png']",Fighting Scots,Maryville TN
358,MAS,,,MAS,Mass Maritime,#000000,,,110,"['http://a.espncdn.com/i/teamlogos/ncaa/500/110.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/110.png']",Buccaneers,Mass Maritime
359,MAY,,,MAY,Mayville St,#000000,,,561,"['http://a.espncdn.com/i/teamlogos/ncaa/500/561.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/561.png']",Comets,Mayville State
360,MCD,,,MCD,McDaniel ,#000000,,,2700,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2700.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2700.png']",Terrors,McDaniel College
361,MCM,,,MCM,McMurry,#000000,,,241,"['http://a.espncdn.com/i/teamlogos/ncaa/500/241.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/241.png']",War Hawks,McMurry
362,MCNS,,,MCNS,McNeese,#00529C,,,2377,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2377.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2377.png']",Cowboys,McNeese
363,MEM,#231f20,,MEM,Memphis,#002447,American Athletic,West,235,"['http://a.espncdn.com/i/teamlogos/ncaa/500/235.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/235.png']",Tigers,Memphis
364,MEN,,,MEN,Menlo,#000000,,,2381,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2381.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2381.png']",Oaks,Menlo
365,MER,#080808,,MER,Mercer,#ff7f29,,,2382,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2382.png']",Bears,Mercer
366,MER,,,MER,Merchant Marine,#000000,,,2383,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2383.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2383.png']",Mariners,Merchant Marine
367,MER,,,MER,Mercyhurst,#000000,,,2385,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2385.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2385.png']",Lakers,Mercyhurst
368,MER,,,MER,Merrimack,#000000,,,2771,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2771.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2771.png']",Warriors,Merrimack
369,MTH,,,MTH,Methodist,#000000,,,291,"['http://a.espncdn.com/i/teamlogos/ncaa/500/291.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/291.png']",Monarchs,Methodist
370,MIAMI,#f0f0f0,Miami (FL),MIAMI,Miami,#004325,ACC,Coastal,2390,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2390.png']",Hurricanes,Miami
371,M-OH,#f0f0f0,,M-OH,Miami (OH),#a4000c,Mid-American,East,193,"['http://a.espncdn.com/i/teamlogos/ncaa/500/193.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/193.png']",RedHawks,Miami (OH)
372,MICH,#ffcb05,,MICH,Michigan,#00274c,Big Ten,East,130,"['http://a.espncdn.com/i/teamlogos/ncaa/500/130.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/130.png']",Wolverines,Michigan
