,abbreviation,alt_color,alt_name1,alt_name2,alt_name3,color,conference,division,id,logos,mascot,school
548,SEFL,,,SEFL,Southeastern,#000000,,,267,"['http://a.espncdn.com/i/teamlogos/ncaa/500/267.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/267.png']",Fire,Southeastern University
549,SEMO,#080808,,SEMO,SE Missouri St,#cc0000,,,2546,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2546.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2546.png']",Redhawks,Southeast Missouri State
550,SOU,#ffc82d,,SOU,Southern,#004B97,,,2582,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2582.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2582.png']",Jaguars,Southern
551,SOU,,,SOU,S Arkansas,#000000,,,2568,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2568.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2568.png']",Muleriders,Southern Arkansas
552,SOU,,,SOU,S Conn St,#000000,,,2583,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2583.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2583.png']",Owls,Southern Connecticut State
553,SIU,#c2c3c0,,SIU,S Illinois,#85283D,,,79,"['http://a.espncdn.com/i/teamlogos/ncaa/500/79.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/79.png']",Salukis,Southern Illinois
554,USM,#ffc423,,USM,Southern Miss,#FFAA3C,Conference USA,West,2572,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2572.png']",Golden Eagles,Southern Mississippi
555,STN,,,STN,S Nazarene,#000000,,,200,"['http://a.espncdn.com/i/teamlogos/ncaa/500/200.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/200.png']",Crimson Storm,Southern Nazarene
556,SOU,,,SOU,So Oregon,,,,2584,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2584.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2584.png']",Raiders,Southern Oregon
557,SUU,#c2c3c0,,SUU,Southern Utah,#d10000,,,253,"['http://a.espncdn.com/i/teamlogos/ncaa/500/253.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/253.png']",Thunderbirds,Southern Utah
558,SVA,,,SVA,S Virginia,#000000,,,2896,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2896.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2896.png']",Knights,Southern Virginia
559,USF,#231f20,,USF,USF,#004A36,American Athletic,East,58,"['http://a.espncdn.com/i/teamlogos/ncaa/500/58.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/58.png']",Bulls,South Florida
560,SWB,,,SWB,SW Baptist,#000000,,,2586,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2586.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2586.png']",Bearcats,Southwest Baptist
561,SWA,,,SWA,SW Assemblies of God,#000000,,,2904,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2904.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2904.png']",Lions,Southwestern Assemblies of God
562,SWC,,,SWC,SW ,#000000,,,616,"['http://a.espncdn.com/i/teamlogos/ncaa/500/616.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/616.png']",Moundbuilders,Southwestern College
563,SWO,,,SWO,SW Oklahoma,#000000,,,2927,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2927.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2927.png']",Bulldogs,Southwestern Oklahoma
564,SWM,,,SWM,SW Minnesota St,#000000,,,2587,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2587.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2587.png']",Mustangs,Southwest Minnesota State
565,SPR,,,SPR,Springfield,#000000,,,81,"['http://a.espncdn.com/i/teamlogos/ncaa/500/81.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/81.png']",Pride,Springfield
566,STA,,,STA,St. Ambrose,#000000,,,2591,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2591.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2591.png']",Fighting Bees,St. Ambrose
567,STAN,#ffffff,,STAN,Stanford,#A80532,Pac-12,North,24,"['http://a.espncdn.com/i/teamlogos/ncaa/500/24.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/24.png']",Cardinal,Stanford
568,STA,,,STA,St. Anselm,#000000,,,2830,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2830.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2830.png']",Hawks,St. Anselm
569,STA,,,STA,St. Augustine's,#000000,,,395,"['http://a.espncdn.com/i/teamlogos/ncaa/500/395.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/395.png']",Falcons,St. Augustine's
570,STC,,,STC,St. Cloud St,#000000,,,2594,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2594.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2594.png']",Huskies,St. Cloud State
571,SFA,#bec0c2,Stephen F Austin,SFA,SF Austin,#393996,,,2617,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2617.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2617.png']",Lumberjacks,Stephen F. Austin
572,STC,,,STC,Sterling ,#000000,,,618,"['http://a.espncdn.com/i/teamlogos/ncaa/500/618.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/618.png']",Warriors,Sterling College
573,STET,#d49d5d,,STET,Stetson,#18581c,,,56,"['http://a.espncdn.com/i/teamlogos/ncaa/500/56.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/56.png']",Hatters,Stetson
574,STU,,,STU,Stevenson,#000000,,,471,"['http://a.espncdn.com/i/teamlogos/ncaa/500/471.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/471.png']",Mustangs,Stevenson
575,SFIL,,,SFIL,St Francis (IL),#000000,,,2595,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2595.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2595.png']",Fighting Saints,St. Francis (IL)
576,SBP,,,SBP,St. Francis (IN),#000000,,,2831,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2831.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2831.png']",Cougars,St. Francis (IN)
577,SFU,,Saint Francis (PA),SFU,St Francis (PA),#a20012,,,2598,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2598.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2598.png']",Red Flash,St Francis (PA)
578,STJ,,,STJ,St. John Fisher,#000000,,,374,"['http://a.espncdn.com/i/teamlogos/ncaa/500/374.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/374.png']",Cardinals,St. John Fisher
579,STJ,,,STJ,St. Johns (MN),#000000,,,2600,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2600.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2600.png']",Johnnies,St. Johns (MN)
580,STL,,,STL,St Lawrence,#000000,,,2779,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2779.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2779.png']",Saints,St Lawrence
581,STN,,,STN,St. Norbert,#000000,,,2832,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2832.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2832.png']",Green Knights,St. Norbert
582,STO,,,STO,St. Olaf ,#000000,,,133,"['http://a.espncdn.com/i/teamlogos/ncaa/500/133.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/133.png']",Oles,St. Olaf College
583,SBI,,,SBI,Stonehill,#000000,,,284,"['http://a.espncdn.com/i/teamlogos/ncaa/500/284.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/284.png']",Chieftains,Stonehill
584,STON,,,STON,Stony Brook,#990000,,,2619,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2619.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2619.png']",Seawolves,Stony Brook
585,STP,,,STP,St. Paul's ,#000000,,,2611,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2611.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2611.png']",Tigers,St. Paul's College
586,SPU,,,SPU,St. Peter's,#001555,,,2612,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2612.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2612.png']",Peacocks,St. Peter's
587,SS,,,SS,St. Scholastica,#000000,,,375,"['http://a.espncdn.com/i/teamlogos/ncaa/500/375.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/375.png']",College of St. Scholastica,St. Scholastica
588,STMN,,,STMN,St. Thomas (MN),#000000,,,2900,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2900.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2900.png']",Tommies,St. Thomas (MN)
589,STV,,,STV,St. Vincent,#000000,,,2614,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2614.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2614.png']",Bearcats,St. Vincent
590,STX,,,STX,St. Xavier (IL),#000000,,,2615,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2615.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2615.png']",Cougars,St. Xavier (IL)
591,SUL,,,SUL,Sul Ross St,#000000,,,2834,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2834.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2834.png']",Lobos,Sul Ross State
592,COR,,,COR,SUNY Cortland,#000000,,,2782,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2782.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2782.png']",Red Dragons,SUNY Cortland
593,MAR,,,MAR,SUNY Maritime,#000000,,,2951,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2951.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2951.png']",Privateers,SUNY Maritime
594,SUS,,,SUS,Susquehanna,#000000,,,216,"['http://a.espncdn.com/i/teamlogos/ncaa/500/216.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/216.png']",Crusaders,Susquehanna
595,SYR,#0d1d37,,SYR,Syracuse,#F37321,ACC,Atlantic,183,"['http://a.espncdn.com/i/teamlogos/ncaa/500/183.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/183.png']",Orange,Syracuse
596,TAR,,,TAR,Tarleton St,#000000,,,2627,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2627.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2627.png']",Texans,Tarleton State
597,TCU,#f1f2f3,Texas Christian,TCU,TCU,#3C377D,Big 12,,2628,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2628.png']",Horned Frogs,TCU
598,TEM,#a7a9ac,,TEM,Temple,#A80532,American Athletic,East,218,"['http://a.espncdn.com/i/teamlogos/ncaa/500/218.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/218.png']",Owls,Temple
599,TENN,#ffffff,,TENN,Tennessee,#EE9627,SEC,East,2633,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2633.png']",Volunteers,Tennessee
600,TNST,#f0f0f0,,TNST,Tennessee St,#383C84,,,2634,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2634.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2634.png']",Tigers,Tennessee State
601,TNTC,#ffde00,,TNTC,Tenn Tech,#5A4099,,,2635,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2635.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2635.png']",Golden Eagles,Tennessee Tech
602,TEX,#f0f0f0,,TEX,Texas,#EE7524,Big 12,,251,"['http://a.espncdn.com/i/teamlogos/ncaa/500/251.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/251.png']",Longhorns,Texas
603,TA&M,#ffffff,,TA&M,Texas A&M,#5C0025,SEC,West,245,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",Aggies,Texas A&M
604,TXA,,,TXA,TX A&M-Commerce,#000000,,,2837,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2837.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2837.png']",Lions,Texas A&M-Commerce
605,TXA,,,TXA,Texas A&M-Kingsville,#000000,,,2658,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2658.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2658.png']",Javelinas,Texas A&M-Kingsville
606,TXCL,,,TXCL,Texas College,,,,2637,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2637.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2637.png']",Steers,Texas College
607,TEX,,,TEX,Texas Lutheran,#000000,,,2639,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2639.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2639.png']",Bulldogs,Texas Lutheran
608,TXSO,#ebebeb,,TXSO,Texas Southern,#6A0403,,,2640,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2640.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2640.png']",Tigers,Texas Southern
609,TXST,#b4975a,,TXST,Texas State,#4e1719,Sun Belt,,326,"['http://a.espncdn.com/i/teamlogos/ncaa/500/326.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/326.png']",Bobcats,Texas State
610,TTU,#231f20,,TTU,Texas Tech,#C80025,Big 12,,2641,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2641.png']",Red Raiders,Texas Tech
611,CIT,#f0f0f0,,CIT,The Citadel,#002b5c,,,2643,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2643.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2643.png']",Bulldogs,The Citadel
612,THO,,,THO,Thomas More,#000000,,,2646,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2646.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2646.png']",Saints,Thomas More
613,TIF,,,TIF,Tiffin,#000000,,,2838,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2838.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2838.png']",Dragons,Tiffin
614,TOL,#ffd51d,,TOL,Toledo,#00488F,Mid-American,West,2649,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2649.png']",Rockets,Toledo
615,TOWS,,,TOWS,Towson,#FFC229,,,119,"['http://a.espncdn.com/i/teamlogos/ncaa/500/119.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/119.png']",Tigers,Towson
616,TRI,,,TRI,Trine,#000000,,,2651,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2651.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2651.png']",Thunder,Trine
617,TRI,,,TRI,Trinity Bible,,,,3214,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3214.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3214.png']",Lions,Trinity Bible
618,TRI,,,TRI,Trinity (CT),#000000,,,2977,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2977.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2977.png']",Bantams,Trinity (CT)
619,TRI,,,TRI,Trinity (IL),#000000,,,2652,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2652.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2652.png']",Trojans,Trinity (IL)
620,TRI,,,TRI,Trinity (TX),#000000,,,386,"['http://a.espncdn.com/i/teamlogos/ncaa/500/386.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/386.png']",Tigers,Trinity (TX)
621,TROY,#88898c,,TROY,Troy,#AE0210,Sun Belt,,2653,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2653.png']",Trojans,Troy
622,TRU,,,TRU,Truman St,#000000,,,2654,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2654.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2654.png']",Bulldogs,Truman State
623,TUF,,,TUF,Tufts,#000000,,,112,"['http://a.espncdn.com/i/teamlogos/ncaa/500/112.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/112.png']",Jumbos,Tufts
624,TULN,#3baf29,,TULN,Tulane,#005837,American Athletic,West,2655,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2655.png']",Green Wave,Tulane
625,TLSA,#ee3b33,,TLSA,Tulsa,#004371,American Athletic,West,202,"['http://a.espncdn.com/i/teamlogos/ncaa/500/202.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/202.png']",Golden Hurricane,Tulsa
626,TUS,,,TUS,Tusculum,#000000,,,2839,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2839.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2839.png']",Pioneers,Tusculum
627,TUS,,,TUS,Tuskegee,#000000,,,2657,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2657.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2657.png']",Golden Tigers,Tuskegee
628,UAB,#ffc845,Alabama-Birmingham,UAB,UAB,#003b28,Conference USA,West,5,"['http://a.espncdn.com/i/teamlogos/ncaa/500/5.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/5.png']",Blazers,UAB
629,UCD,#bc9305,California-Davis,UCD,UC Davis,#183563,,,302,"['http://a.espncdn.com/i/teamlogos/ncaa/500/302.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/302.png']",Aggies,UC Davis
630,UCF,#231f20,Central Florida,UCF,UCF,#000000,American Athletic,East,2116,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2116.png']",Knights,UCF
631,UCLA,#ffc72c,,UCLA,UCLA,#005C8E,Pac-12,South,26,"['http://a.espncdn.com/i/teamlogos/ncaa/500/26.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/26.png']",Bruins,UCLA
632,UMASS,,,UMASS,UMass,#880007,FBS Independents,,113,"['http://a.espncdn.com/i/teamlogos/ncaa/500/113.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/113.png']",Minutemen,UMass
633,MAS,,,MAS,UMass Dartmouth,#000000,,,379,"['http://a.espncdn.com/i/teamlogos/ncaa/500/379.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/379.png']",Corsairs,UMass Dartmouth
634,UML,#cf1f2f,,UML,UMass Lowell,#000000,,,2349,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2349.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2349.png']",River Hawks,UMass Lowell
635,NCP,,,NCP,UNC Pembroke,#000000,,,2882,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2882.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2882.png']",Braves,UNC Pembroke
636,UNI,,,UNI,Union,#000000,,,237,"['http://a.espncdn.com/i/teamlogos/ncaa/500/237.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/237.png']",Dutchmen,Union
637,UFFL,,,UFFL,Faith-Florida,,,,3254,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3254.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3254.png']",Glory Eagles,University of Faith
638,UNLV,#c2c4c6,Nevada-Las Vegas,UNLV,UNLV,#000000,Mountain West,West,2439,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2439.png']",Rebels,UNLV
639,UI,,,UI,Upper Iowa,#000000,,,389,"['http://a.espncdn.com/i/teamlogos/ncaa/500/389.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/389.png']",Peacocks,Upper Iowa
640,URB,,,URB,Urbana,#000000,,,2666,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2666.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2666.png']",Blue Knights,Urbana
641,URS,,,URS,Ursinus,#000000,,,2667,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2667.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2667.png']",Bears,Ursinus
642,USC,#ffc72c,,USC,USC,#AE2531,Pac-12,South,30,"['http://a.espncdn.com/i/teamlogos/ncaa/500/30.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/30.png']",Trojans,USC
643,UTAH,#7e8083,,UTAH,Utah,#890012,Pac-12,South,254,"['http://a.espncdn.com/i/teamlogos/ncaa/500/254.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/254.png']",Utes,Utah
644,USU,#949ca1,,USU,Utah State,#003263,Mountain West,Mountain,328,"['http://a.espncdn.com/i/teamlogos/ncaa/500/328.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/328.png']",Aggies,Utah State
645,UTEP,#ff6f12,Texas-El Paso,UTEP,UTEP,#002843,Conference USA,West,2638,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2638.png']",Miners,UTEP
646,UTICA,,,UTICA,Utica College,#000000,,,390,"['http://a.espncdn.com/i/teamlogos/ncaa/500/390.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/390.png']",Pioneers,Utica
647,UTM,#102a5c,,UTM,UT Martin,#FF6700,,,2630,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2630.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2630.png']",Skyhawks,UT Martin
648,UTSA,#f47321,Texas-San Antonio,UTSA,UTSA,#002A5C,Conference USA,West,2636,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2636.png']",Roadrunners,UT San Antonio
649,VAW,,,VAW,UVA-Wise,,,,2842,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2842.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2842.png']",Highland Cavaliers,UVA-Wise
650,WIS,,,WIS,UW-Oshkosh,#000000,,,271,"['http://a.espncdn.com/i/teamlogos/ncaa/500/271.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/271.png']",Titans,UW-Oshkosh
651,WIS,,,WIS,UW-River Falls,#000000,,,2723,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2723.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2723.png']",Falcons,UW-River Falls
652,WIS,,,WIS,UW-Stout,#000000,,,2744,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2744.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2744.png']",Blue Devils,UW-Stout
653,WISW,,,WISW,UW-Whitewater,#000000,,,2745,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2745.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2745.png']",Warhawks,UW-Whitewater
654,VAL,,,VAL,Valdosta St,#000000,,,2673,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2673.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2673.png']",Blazers,Valdosta State
655,VAL,,,VAL,Valley City St,#000000,,,628,"['http://a.espncdn.com/i/teamlogos/ncaa/500/628.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/628.png']",Vikings,Valley City State
656,VALP,,,VALP,Valparaiso,#794500,,,2674,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2674.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2674.png']",Crusaders,Valparaiso
657,VAN,#231f20,,VAN,Vanderbilt,#000000,SEC,East,238,"['http://a.espncdn.com/i/teamlogos/ncaa/500/238.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/238.png']",Commodores,Vanderbilt
658,NOVA,#f0f0f0,,NOVA,Villanova,#123d7C,,,222,"['http://a.espncdn.com/i/teamlogos/ncaa/500/222.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/222.png']",Wildcats,Villanova
659,UVA,#002d62,,UVA,UVA,#00204e,ACC,Coastal,258,"['http://a.espncdn.com/i/teamlogos/ncaa/500/258.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/258.png']",Cavaliers,Virginia
660,VIR,,,VIR,Virginia St,#000000,,,330,"['http://a.espncdn.com/i/teamlogos/ncaa/500/330.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/330.png']",Trojans,Virginia State
661,VT,#c2c1ba,,VT,VT,#74232D,ACC,Coastal,259,"['http://a.espncdn.com/i/teamlogos/ncaa/500/259.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/259.png']",Hokies,Virginia Tech
662,VMI,#eec52b,Virginia Military Institute,VMI,VMI,#E52D37,,,2678,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2678.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2678.png']",Keydets,VMI
663,WAB,,Wabash,WAB,Wabash College,#000000,,,89,"['http://a.espncdn.com/i/teamlogos/ncaa/500/89.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/89.png']",Little Giants,Wabash College
664,WAG,#ffffff,,WAG,Wagner,#00483A,,,2681,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2681.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2681.png']",Seahawks,Wagner
665,WAKE,#000000,,WAKE,Wake Forest,#9E7E38,ACC,Atlantic,154,"['http://a.espncdn.com/i/teamlogos/ncaa/500/154.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/154.png']",Demon Deacons,Wake Forest
666,WAL,,,WAL,Waldorf,#000000,,,3080,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3080.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3080.png']",Warriors,Waldorf
667,WALSH,,,WALSH,Walsh,#000000,,,2682,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2682.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2682.png']",Cavaliers,Walsh
668,UWS,,,UWS,Warner,,,,2683,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2683.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2683.png']",Royals,Warner
669,WAR,,,WAR,Wartburg,#000000,,,2685,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2685.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2685.png']",Knights,Wartburg
670,WAS,,,WAS,Washburn,#000000,,,2687,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2687.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2687.png']",Ichabods,Washburn
