alt_color,color,id,logos,school,Latitude,Longitude
#dea076,#c34500,204,"['http://a.espncdn.com/i/teamlogos/ncaa/500/204.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/204.png']",Oregon State,44.5594559,-123.2814341
#002e5c,#00265D,213,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']",Penn State,40.8121958,-77.8561023
#231f20,#003263,221,"['http://a.espncdn.com/i/teamlogos/ncaa/500/221.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/221.png']",Pittsburgh,40.4467648,-80.0157603
#a4a9ad,#B89D29,2509,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2509.png']",Purdue,40.4352253,-86.9186843
#d1d5d8,#003D7D,242,"['http://a.espncdn.com/i/teamlogos/ncaa/500/242.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/242.png']",Rice,29.7163297,-95.4093261
#ffffff,#d21034,164,"['http://a.espncdn.com/i/teamlogos/ncaa/500/164.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/164.png']",Rutgers,40.5136754,-74.4655737
#a8996e,#BF2C37,21,"['http://a.espncdn.com/i/teamlogos/ncaa/500/21.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/21.png']",San Diego State,32.7831122,-117.1195716
#fdba31,#005893,23,"['http://a.espncdn.com/i/teamlogos/ncaa/500/23.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/23.png']",San José State,37.3196675,-121.8682962
#ecdcb9,#E32F38,2567,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2567.png']",SMU,32.8377223,-96.7827859
,#003E7E,6,"['http://a.espncdn.com/i/teamlogos/ncaa/500/6.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/6.png']",South Alabama,30.6730374,-88.0755704
#000000,#670010,2579,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2579.png']",South Carolina,33.9730239,-81.0191726
#ffc423,#FFAA3C,2572,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2572.png']",Southern Mississippi,31.3289321,-89.3318118
#231f20,#004A36,58,"['http://a.espncdn.com/i/teamlogos/ncaa/500/58.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/58.png']",South Florida,27.9758691,-82.5033344
#ffffff,#A80532,24,"['http://a.espncdn.com/i/teamlogos/ncaa/500/24.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/24.png']",Stanford,37.4345556,-122.1611271
#0d1d37,#F37321,183,"['http://a.espncdn.com/i/teamlogos/ncaa/500/183.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/183.png']",Syracuse,43.0362269,-76.1363161
#f1f2f3,#3C377D,2628,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2628.png']",TCU,32.7096604,-97.3680835
#a7a9ac,#A80532,218,"['http://a.espncdn.com/i/teamlogos/ncaa/500/218.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/218.png']",Temple,39.9007995,-75.1675414
#ffffff,#EE9627,2633,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2633.png']",Tennessee,35.9550131,-83.9250128
#f0f0f0,#EE7524,251,"['http://a.espncdn.com/i/teamlogos/ncaa/500/251.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/251.png']",Texas,30.2836813,-97.7325345
#ffffff,#5C0025,245,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",Texas A&M,30.6098891,-96.3403828
#b4975a,#4e1719,326,"['http://a.espncdn.com/i/teamlogos/ncaa/500/326.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/326.png']",Texas State,29.8910008,-97.9255735
