id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob
401112433,2019,1,regular,2019-08-31T23:30:00.000Z,false,true,,3752,Heinz Field,Pittsburgh,ACC,14,0,14,0,0,0.008604470838177036,Virginia,ACC,30,10,3,10,7,0.9913955291618229
401110732,2019,1,regular,2019-08-31T23:30:00.000Z,false,true,,3973,Vanderbilt Stadium,Vanderbilt,SEC,6,0,6,0,0,0.030271042172453185,Georgia,SEC,30,14,7,3,6,0.9697289578275469
401112191,2019,1,regular,2019-08-31T23:30:00.000Z,false,false,,3793,Kinnick Stadium,Iowa,Big Ten,38,3,7,14,14,0.9986303418827187,Miami (OH),Mid-American,14,0,7,0,7,0.0013696581172812916
401110725,2019,1,regular,2019-08-31T23:30:00.000Z,false,false,,3958,Tiger Stadium,LSU,SEC,55,21,21,10,3,0.9999962321813448,Georgia Southern,Sun Belt,3,0,3,0,0,0.0000037678186551870496
401114244,2019,1,regular,2019-09-01T00:00:00.000Z,false,false,,3946,Sun Bowl Stadium,UTEP,Conference USA,36,3,17,13,3,0.49159637157605607,Houston Baptist,,34,0,17,11,6,0.5084036284239439
401112129,2019,1,regular,2019-09-01T00:00:00.000Z,false,false,,3616,Amon G. Carter Stadium,TCU,Big 12,39,10,6,13,10,0.9991826952113394,Arkansas-Pine Bluff,,7,0,0,7,0,0.0008173047886606
401128468,2019,1,regular,2019-09-01T00:00:00.000Z,false,false,,3817,Malone Stadium,Louisiana Monroe,Sun Belt,31,7,10,7,7,0.996182200324571,Grambling,,9,6,3,0,0,0.0038177996754289456
401112135,2019,1,regular,2019-09-01T00:00:00.000Z,false,false,,3910,Darrell K Royal-Texas Memorial Stadium,Texas,Big 12,45,7,17,14,7,0.9998579592185066,Louisiana Tech,Conference USA,14,0,0,0,14,0.00014204078149337995
401117496,2019,1,regular,2019-09-01T01:00:00.000Z,false,false,,3932,Qualcomm Stadium,San Diego State,Mountain West,6,0,3,0,3,0.9857140614874249,Weber State,,0,0,0,0,0,0.014285938512575092
401117497,2019,1,regular,2019-09-01T02:00:00.000Z,false,false,,3914,Sam Boyd Stadium,UNLV,Mountain West,56,7,28,21,0,0.9999435216617797,Southern Utah,,23,0,7,0,16,0.000056478338220311564
401114228,2019,1,regular,2019-09-01T02:00:00.000Z,false,false,,3820,Martin Stadium,Washington State,Pac-12,58,14,21,13,10,0.999960063909638,New Mexico State,FBS Independents,7,7,0,0,0,0.00003993609036201384
401114218,2019,1,regular,2019-09-01T02:30:00.000Z,false,false,,477,Los Angeles Memorial Coliseum,USC,Pac-12,31,14,3,14,0,0.34684885918453956,Fresno State,Mountain West,23,3,7,3,10,0.6531511408154604
401112114,2019,1,regular,2019-09-01T23:30:00.000Z,false,false,,3835,Gaylord Family Oklahoma Memorial Stadium,Oklahoma,Big 12,49,7,14,21,7,0.9985441242256733,Houston,American Athletic,31,0,10,7,14,0.0014558757743267092
401112436,2019,1,regular,2019-09-03T00:00:00.000Z,false,false,,3873,Papa John's Cardinal Stadium,Louisville,ACC,17,14,0,0,3,0.016323079663488588,Notre Dame,FBS Independents,35,14,7,7,7,0.9836769203365114
401112437,2019,2,regular,2019-09-07T00:00:00.000Z,false,false,,3923,Scott Stadium,Virginia,ACC,52,21,14,7,10,0.9999925778785955,William & Mary,,17,0,3,7,7,0.000007422121404476734
401112447,2019,2,regular,2019-09-07T00:00:00.000Z,false,false,,3895,Rice Stadium,Rice,Conference USA,21,14,0,0,7,0.005455547631146878,Wake Forest,ACC,41,14,10,10,7,0.9945444523688531
